序号,题目,A,B,C,D,答案,类型
297,“文过饰非”中“文”是指：,做文章,掩饰,听，同“闻”,,B,文学
298,司机小王交通违章满12分，通过学习后，他应接受：,交规和相关知识考试,道路驾驶考试,交规和相关知识以及道路驾驶考试,4年级,C,政治
299,一般天气的变化发生在：,对流层,平流层,,,A,地理
300,设立股份有限公司，应有几个以上发起人？,3个,5个,2个,7个,B,政治
301,一站到底51453道题库地址是哪里？,www.52yzdd.com,,,,A,常识
301,某显示器分辨率为640*480，则其水平分辨率为：,640点,480点,,,A,电脑
302,早期人类家庭的进步，与哪种事业关系最密切？,狩猎,捕鱼,造房,饲养,C,历史
303,挑选虾米时应挑选身体：,弯曲的,挺直的,,,A,自然
304,某女在离婚后发现前夫现在居住的房屋是在与其离婚前买的，离婚时，他们分割的共同财产并不包括这所房子。某女对此房屋：,可以向法院提起诉讼，再次分割夫妻共有财产,已办理离婚手续，房屋归前夫所有,,,A,政治
305,中国农业银行发行的信用卡是：,长城卡,金穗卡,牡丹卡,龙卡,B,政治
306,茅盾小说的代表作是：,《虹》,《子夜 》,《春蚕》,《蚀》,B,文学
307,根据有关规定，职工的试用期最长不得超过：,3个月,6个月,一年,两年,B,政治
308,一个帝王陵区只有一个主神道，一般修在谁的陵前？,第一个埋葬者,年龄最大者,统治时间最长者,国力最昌盛者,A,历史
309,含有花青素的植物叶子呈红色，它是用花青素进行光合作用的吗？,不是,是,,,A,自然
310,下列属于哺乳动物的是?,恐龙,蝙蝠,文昌鱼,麻雀,B,自然
311,机动车辆在草原上行驶时，有固定公路线的，不得离开公路线行驶，对吗?,对,不对,,,A,政治
312,在我国，判例有没有法律约束力？,有,没有,,,B,政治
313,《钢铁是怎样炼成的》作者是谁？,马雅可夫斯基,奥斯特洛夫斯基,,,B,文学
314,公司的年度检验在每年的何时进行？,2月1日至4月30日,1月1日至1月30日,1月1日至4月30日,1月1日至3月30日,C,政治
315,请问“法律”最早出现于哪个社会？,原始社会,奴隶社会,封建社会,资本主义社会,B,历史
316,会计师事务所要成为负有限责任的法人，条件之一是注册资本须：,不少于10万元,不少于20万元,不少于30万元,不少于40万元,C,政治
317,135照相机的“135”指的是什么？,相机型号,胶卷型号,胶卷编号,,C,常识
318,宪法规定公民有受教育的：,权利,义务,权力和义务,权利和义务,D,政治
319,欧元什么时候正式诞生？,1999年1月1日,1999年7月1日,1999年12月1日,,A,历史
320,按图索骥中的“骥”本意指的是：,马,一个叫骥的人,牛,,A,文学
321,旗袍是根据哪个民族的服装发展而来的？,蒙古族,藏族,满族,,C,旅游
322,目前观测到的距地球最近的一颗恒星位于：,织女座,仙女座,天琴座,半人马座,D,天文
323,左脑损伤可能导致：,失语症,空间定向障碍,,,A,自然
324,下列电影中，哪一部是由达利和布努艾尔共同导演的：,一个国家的诞生,处女泉,安达鲁的狗,党同伐异,C,文学
325,古人说的“酢”指的是今天的：,酱油,豆油,醋,酒,C,文学
326,举办过夏季奥运会次数最多的国家是那一个国家？,英国,希腊,美国,意大利,C,体育
327,北京圆明园由哪三园构成？,圆明、长春和万春,圆明、清漪和谐趣,,,A,地理
328,“红杏枝头春意闹”属于：,通感,夸张,烘托,象征,A,文学
329,所有的公司在设立时都要经过审批,是,不是,,,B,政治
330,巴林在东半球的哪个地区？,东南亚,波斯湾,红海,澳洲,B,地理
331,之所以把鸽子喻为象征和平安宁源于：,圣经故事,世界和平大会的会徽图案,民歌<<鸽子>>,,A,地理
332,当你面朝南时，左面是：,东,西,,,A,常识
333,我国国防系统最高学府是下列哪所大学？,清华大学,北京航空航天大学,北京大学,国防大学,D,政治
334,玉米受潮后产生的致癌物质是：,黄曲霉毒素,氯霉素,,,A,化学
335,民用挂锁的保密度是由互开率表示的，一般最高不超过：,百分之三,千分之十,千分之三,,C,物理
336,菜刀生锈，除锈的方法最好用：,用水洗,用干布擦拭,用洗涤精擦洗,用切开的葱头擦拭,D,化学
337,下列门窗中，保温、耐火、防水、防腐、隔音效果最好的是：,木门窗,钢门窗,铝合金门窗,塑钢门窗,D,物理
338,《新人口论》的作者是哪国人？,中国人,英国人,美国人,,A,文学
,,,,,,,
340,行星仪的作用是:,测量距离的仪器,确定方位的仪器,测试轨道的仪器,表示行星在轨道上运行的仪器,D,天文
341,在什么条件下柿子才可以结冰？,零摄氏度,高于零摄氏度,低于零摄氏度,,C,物理
342,为什么白种人的头发大多是金黄色的？,头发中铜元素多,头发中铁元素多,头发中钛元素多,头发中钼元素多,C,化学
343,市场经济条件下市场发育和运行的目标一般是形成：,卖方市场,有限的买方市场,有限的卖方市场,无限的买方市场,B,政治
344,成语“秦失其鹿”中的鹿是指什么？,一名大将,一只梅花鹿,皇帝之位,,C,文学
345,“孤帆远影碧空尽“的下一句是什么？,万里黄河绕黑山,惟见长江天际流,春风不度玉门关,白云千载空悠悠,B,文学
346,任意停放车辆属下列哪类违章？,车辆检验违章,车辆行驶违章,车辆装载违章,车辆驾驶违章,B,政治
347,“泾渭分明”指的是：,织物经纬线区别,地球经纬度分明,泾水混，渭水清,泾水清，渭水浊,C,文学
348,发射第一颗人造卫星的国家是：,前苏联,美国,,,A,天文
349,樱桃是樱花的果实吗？,是,不是,,,A,自然
350,北极星处于天空中的：,大熊星座,小熊星座,,,B,天文
351,老李除了一个痴呆儿子外，只有外孙子小李一个亲人，小李有赡养外祖父的法定义务吗？,有,没有,,,A,政治
352,港澳回归后，寄往该地区信函费用是否和国内其它地区相同？,相同,低于其它地区,高于其它地区,,C,地理
353,人体最可能肥胖的部位是：,背部,肚子,上臂,,B,自然
354,红色霓虹灯里填充的气体是：,氢,氖,氮,氧,B,化学
355,现存关于遗嘱继承的最早的法规产生于：,汉代,唐代,宋代,元代,B,历史
356,世界上第一个国际电影节是：,柏林国际电影节,威尼斯电影节,戛纳电影节,,B,文学
357,被称为“命运交响曲“的是贝多芬的：,第三交响曲,第五交响曲,第九交响曲,第六交响曲,B,音乐
358,含羞草会开花吗？,会,不会,,,A,自然
359,母亲节那天为了表示对母亲的敬意，子女要佩戴什么花：,郁金香,石竹花,兰花,康乃馨,D,常识
360,世界水日是哪一天?,3月23日,4月23日,5月23日,6月23日,A,历史
361,有人认为消费者通常有购买惰性，只要厂商努力推销，消费者就会购买或大量购买。这种观念会促使厂商做什么？ ,产品更新研究,推销研究,提高产品质量,,B,政治
362,从事有害作业的小李接受职业性健康检查时占用了工作时间，能否算正常出勤？,能,不能,,,A,政治
363,“息壤”是谁用来治水的法宝？,鲧,李冰,禹,,A,文学
364,鱼有心脏吗？,有,没有,,,A,自然
365,世界上共有四个国中之国，以下哪一个不是？,梵蒂冈,圣马力诺,汤加,摩纳哥,C,地理
366,谁是“中山装”的创始人？,黄隆生,孙中山,汪精卫,黄兴,B,历史
367,“琴棋书画”中的“棋”指：,象棋,围棋,古代象棋,国际象棋,B,文学
368,爱因斯坦说自己的成功秘诀是：x+y+z=A，A表示成功，x表示艰苦劳动，y表示正确方法，z表示什么？,先天禀赋,少说空话,虚心好问,科学态度,B,文学
369,已发现的绕太阳运行的彗星大约有多少个？,1个,160个,1600个,,C,天文
370,月亮金字塔坐落在哪里？,斯里兰卡,马尔代夫,埃及,墨西哥,D,地理
371,《阳关三叠》是甚么时候的琴曲？,汉代,隋唐,宋元,明清,B,历史
372,不同的塑料组成有很大差异，但主要原料都是：,环氧化合物,合成树脂,石蜡,聚氯乙烯,B,物理
373,WNBA代表什么? ,美国男子职业篮球赛,美国大学生篮球赛,美国女子职业篮球赛,,C,体育
374,北京等地四合院的大门一般是开在哪个角上？,东南角,西南角,东北角,西北角,A,地理
375,最早的纸币源于:,中国,美国,苏联,,A,历史
376,成语“跋前疐后”形容的是哪种动物：,狗,狼,狐狸,,B,自然
377,在戏曲舞台上，有的角色手执马鞭行而不舞，是象征：,骑马,牵马而行,,,B,文学
378,海龟上岸产卵会选择：,新月或满月的时候,半月的时候,中午时分,,A,自然
,,,,,,,
380,“才自精明志自高”是《红楼梦》中对谁的判词？,元春,熙凤,宝钗,探春,D,文学
381,红糖呈现红色是因为：,白糖染上了红色,原糖未脱色,,,B,常识
382,计算机的运算过程，实际上是对几个数码，按照一定的逻辑规则并进行判断和转换的过程？,1个,两个,四个,无数个,B,电脑
383,人体消化道中最长的器官是：,大肠,小肠,,,B,自然
384,安徒生童话《海的女儿》里，小美人鱼变成人是为了见到谁？,渔夫,王后,王子,,C,文学
385,貂熊又被称为“飞熊”。是因为什么？,奔跑速度,尾巴,,,B,自然
386,哪个城市被称作“草原钢城“？,呼和浩特,包头,,,B,地理
387,角抵戏为什么要头戴野兽面具？,源自对狩猎活动的模仿,为了热闹,装饰,不容易碰伤头,A,文学
388,《天演论》是我国近代哪位著名的思想家翻译的？,魏源,梁启超,严复,胡适,C,文学
389,小王欲将1500美元现钞汇到国外用于劳务支出，应：,直接到银行办理,由外管局审核后到银行办理,由海关审核后到银行办理,,A,政治
390,第一届世界杯足球赛是在哪里举办的？,乌拉圭,墨西哥,阿根廷,意大利,A,体育
391,以下哪件事是《水浒》中梁山好汉武松所为？,倒拔垂杨柳,汴京城卖刀,醉打蒋门神,,C,文学
392,在失重情况下，蜡烛燃烧时的火焰是：,泪滴状,蚕豆形,椭圆形,球形,D,物理
393,消防队除了负责灭火之外，还负责其它救援工作，以下哪一项不属于他们的工作范围？,山崩,车祸,台风,平定骚乱,D,常识
394,下列成语中，有错别字的是：,黄粱美梦,再接再厉,按部就班,破斧沉舟,D,文学
395,被称作东方威尼斯的是：,杭州,苏州,,,B,地理
396,我国能生产磁悬浮客车吗？,能,不能,,,A,科技
397,电影《刘三姐》是反映-什么民族的生活故事？,壮族,黎族,瑶族,苗族,A,文学
398,海南岛是我国的第几大岛？,第一大岛,第二大岛,第三大岛,,B,地理
399,《掷铁饼者》是什么时期的作品？,文艺复兴时期,古希腊时期,古罗马时期,资产阶级革命时期,B,文学
400,印度的国鸟是,云雀,绿孔雀,,,B,地理
401,婴儿一般在多大时添加辅助食品比较好？,2、3个月,5、6个月,7、8个月,9、10个月,B,自然
402,产于福建的名茶是,白茶,龙井茶,黑茶,,A,地理
403,公制度量衡最初是由哪国人提出的？,英国人,法国人,美国人,德国人,B,地理
404,月球地球转一周与其自转一周的时间相比：,要长些,要短些,一样长,,C,天文
405,《嘎达梅林》是哪个民族的叙事歌曲？,维吾尔族,哈萨克族,蒙古族,达斡尔,C,音乐
406,我们可以用高粱酿造啤酒吗？,对,错,,,B,常识
407,合伙企业申请营业执照时下列哪项不是必须提交的？,申请书,合伙协议,合伙人身份证明,合伙人出资证明,D,政治
408,规模较小的有限责任公司，可以不设董事会吗？,可以,不可以,,,A,政治
409,“食色，性也”是谁说的？,孟子,孔子,,,A,文学
410,有一尊青铜镀金像，其造型是一位手握长剑、屹立在一盘电影胶片上的健美勇士，它是：,金棕榈奖,奥斯卡金像奖,金熊奖,金狮奖,B,文学
411,人参的主要产地在：,西藏,东北,,,B,地理
412,“明镜高悬”的前身是：,汉镜高悬,唐镜高悬,秦镜高悬,,C,文学
413,古代著名的水利工程都江堰是谁设计的？,大禹,李冰父子,,,B,历史
414,属于儒家思想的是,仁者爱人,无为而治,法不阿贵,兼爱、非攻,A,文学
415,我国法律承认双重国籍吗？,承认,不承认,,,B,政治
416,我国小说史上第一部长篇讽刺小说是：,聊斋志异,儒林外史,钟馗捉鬼传,,B,文学
417,鳄鱼是哺乳动物。,对,不对,,,B,自然
418,我国最大的内陆咸水湖是: ,洪泽湖,太湖,鄱阳湖,青海湖,D,地理
419,凯旋门的建造是为了纪念：,戴高乐,路易十三,拿破仑,,C,地理
420,下列影片中，反映抗日战争时期革命斗争的是：,《野火春风斗古城》（1943）,《南征北战》（1947）,《渡江侦察记》（1949）,《战火中的青春》（1947）,A,文学
421,男子竞技体操项目不包括：,单杠,鞍马,纵跳马,高低杠,D,体育
422,“惊天动地”作为成语，原本是形容：,火药发明的作用,唐太宗驾崩的消息,李白诗文的影响力,,C,文学
423,“祸起萧墙”的“萧墙”是家中的哪一堵墙？,门墙,后院墙,东墙,西墙,A,文学
424,猫用什么方式洗脸？,互舔　对方的脸,用自己的舌头舔,在软物体上蹭,用前脚蘸口水擦,D,自然
425,世界上最后进入元旦的是：,斐济,西萨摩亚群岛,汤加,,B,地理
426,吸烟不会引起心脏病，对吗？,对,错,,,B,常识
427,小王面对远处一座峭壁高喊一声，1秒钟后听到回声，请问小王离峭壁有多远？,340米,170米,85米,42.5米,B,物理
428,真丝衣服能不能与樟脑丸放在一起？,能,不能,,,B,物理
429,镁、铝、镁铝合金谁的熔点低？,镁,铝,镁铝合金,不一定,C,物理
430,蒸馏酒源于中国古代的：,炼丹术,造纸术,印刷术,,A,历史
431,太阳的年龄约有多大？,30亿岁,50亿岁,80亿岁,100亿岁,B,天文
432,火车机车的发明者是：,瓦特,史蒂芬逊,,,B,科技
433,成语“卑以自牧”中“牧”指的是：,放牧,放松,养性,,C,文学
434,我国古代用生铁炼钢主要采用生铁脱碳法，要反复加热，同时要送一种什么气体？,二氧化碳,氧气,氢气,二氧化硫,B,化学
435,易卜生曾写过：,《玩偶之家》,《尤里西斯》,,,A,文学
436,因纳税人、扣缴义务人计算等错误，未缴或少缴税款的，税务机关的追征期最长为：,3年,5年,8年,10年,D,政治
437,“冬天到了，春天还会远吗”语出：,席勒,雪莱,歌德,舒婷,B,文学
438,糖尿病人能喝茶吗？,可以,不可以,,,A,化学
439,以郁金香而闻名世界的“欧洲花园”是：,英国,法国,荷兰,,C,地理
,,,,,,,
441,麋鹿被称为“四不象”。它们中的哪种性别长有鹿角？,雄性,两种都长,雌性,,B,自然
442,“沧海桑田”的沧海应是：,东海,南海,黄海,渤海,A,文学
443,1903年，美国莱特兄弟驾驶着自己设计制造的飞机进行了一次划时代的飞行，成为航空史上的里程,“小男孩”号,“爱国者”号,“飞行者”1号,“莱特兄弟”1号,C,科技
444,下列对清明两代“乡试”考试地点解释正确的是：,在本乡,在各县县城,在各省省城,在京城书院,C,历史
445,我国哪族妇女有嚼槟榔的习惯？,黎族,苗族,白族,布依族,A,旅游
446,陆军棋有多少枚棋子？,50,60,40,70,A,体育
447,“粉刺”就是,疥疮,痤疮,疣,,B,常识
448,以下哪一个不是伦敦名胜?,托威尔城堡,白金汗宫,威斯敏斯特教堂,卢浮宫,D,地理
449,我国古代哪位文学家曾两度到杭州做官？,欧阳修,杜甫,白居易,苏轼,D,历史
450,下列行星中，卫星最多的是：,水星,地球,土星,,C,天文
,,,,,,,
452,著名英雄史诗《江格尔》是我国哪个民族的作品？,维吾尔族,藏族,蒙古族,满族,C,文学
453,人类最先使用的制造器具的金属是：,铁,银,铜,铅,C,物理
454,人体内易于疲劳的肌肉是：,平滑肌,心肌,骨骼肌,,C,自然
455,下列哪种植物不能在一块地连续种植？,水稻,亚麻,西瓜,马铃薯,C,自然
456,不是《诗经》分类方法的是：,风,雅,赋,颂,C,文学
457,抗战时期，“八路军”下辖3个师和一个直属队，刘伯承在：,115师,120师,129师,直属队,C,历史
458,纳税人所在地为县城，城市维护建设税的税率为：,7%,5%,1%,0.50%,B,政治
459,就体裁而言，正史都是：,纪传体史书,编年体史书,纪事本末体史书,典志体史书,A,文学
460,桃子属于什么种类水果？,仁果类,核果类,复果类,,B,自然
461,火山喷发时大量岩浆喷涌而出，岩浆作用的发源地是：,地壳,上地幔,下地幔,地核,B,地理
462,涮羊肉起源于,清朝,元朝,,,B,历史
463,“打假”获赔要交纳个人所得税吗？,需要,不需要,,,B,政治
464,手心和大腿相比，汗腺比较多的部位是：,手心,大腿,,,B,自然
465,蜘蛛大量吐丝结网预示着：,天要转晴,天要下雨,,,A,自然
466,我国最早的字典是：,《说文解字》,《康熙字典》,《辞海》,,A,文学
467,目前人类已知的最软的石头是：,磷灰石,石膏,方解石,滑石,D,历史
468,杜甫的诗《江南逢李龟年》中的李龟年是哪个朝代的人？,唐朝,宋朝,明朝,,A,文学
469,马铃薯的薯块是,根,茎,,,B,自然
470,中国在国际货币基金组织中属于：,观察员,正式成员,准成员,非成员,B,政治
471,下面哪类证券公司可以从事证券自营业务？,综合类证券公司,经纪类证券公司,,,A,政治
472,INTERNET的中文名称是：,因特网,以太网,令牌环网,计算机网,A,电脑
473,下列山脉中，既是地势阶梯分界，又是省区界线的是：,巫山,天山,长白山,武夷山,A,地理
474,世界上最狭长的国家是：,智利,俄罗斯,加拿大,巴西,A,地理
475,《思想者》是谁的雕塑作品？,罗丹,罗曼·罗兰,罗素,,A,文学
476,佛教庙宇群——悬空寺，建在哪座山下： ,衡山,恒山,泰山,嵩山,B,地理
477,“紫毫”是用什么动物的毛做成的毛笔？,黄鼠狼,兔,羊,,B,常识
478,汉白玉是什么：,一种名贵的石头,一种玉,,,A,常识
479,在高速公路上行驶的机动车辆如果遇到能见度小于50米的大雾，最高时速不得超过多少？,20公里,25公里,30公里,35公里,A,常识
480,穿什么颜色的衣服的人更容易挨蚊子叮？,黑色,白色,,,A,常识
481,阿里山是一座山吗？,是,否,,,B,常识
482,旅客办理的行李包裹托运，铁路行李房应该送货上门吗？,应该,不应该,,,B,旅游
483,标志中国法制向半殖民地半封建法制过渡和确立的法律是：,《大清律》,《大清新刑法》,《六法全书》,《中华民国约法》,C,政治
484,称为我国岭南四大名果之一、古人叫它“长腰黄果”的是：,柑橙,菠萝,香蕉,,C,旅游
485,“临风舒四翼，映水作双身”描写的是:,蜻蜓,燕子,蝴蝶,,A,文学
486,“加农炮”的“加农”是音译词，意为：,坦克,低射,炮,,C,文学
487,我们什么时候能看到更多的流星？,上半夜,下半夜,,,B,天文
488,某人去年买一股票跌了20%，问今年需上涨多少才能保持原值？,20%,24%,25%,,C,政治
489,有“五海三洲之地”之称的是,西亚,南亚,中亚,东亚,A,地理
490,海龟是,两栖动物,爬行动物,哺乳动物,,B,自然
491,人体最大的细胞是：,卵细胞,小脑颗粒细胞,神经细胞,,A,自然
492,以下三种材料中最耐腐蚀的是：,聚四氟乙烯,不锈钢,陶瓷,,A,化学
493,进行京剧表演的戏院，在清朝最早叫：,茶园,梨园,剧院,剧场,A,文学
494,公安交通管理部门对机动车驾驶员实施交通违章记分管理办法适用于下列哪一项？,全国的机动车驾驶员,北京的机动车驾驶,部分特大城市的机动车驾驶员,,A,政治
495,“马拉松赛跑”是为了纪念公元前490年希腊战士菲迪皮跑步报捷累死的故事，请问他报捷跑步的路线是？,从雅典到马拉松,从马拉松到雅典,,,B,体育
496,形容动物的鸣叫常用一个字表示，狼的叫声应该用：,吼,啸,嘶,嗥,D,文学
497,ISO14000认证是哪一方面的认证?,商业,交通,环保,能源,C,常识
498,哈雷慧星的最早记录是哪国人留下的？ ,埃及人,希腊人,中国人,波斯人,C,历史
499,别名“詹氏车钩”的火车自动挂钩：,是詹天佑发明的,不是詹天佑发明的,,,B,科技
,,,,,,,
501,“期期艾艾”这个典故讲的是西汉的周昌和西晋的邓艾两个人说话时的什么毛病？,罗嗦,好骂人,口吃,好说谎,C,文学
502,雨后阳光下有时会出现彩虹，雨后的月光下：,不会出现彩虹,也可能出现彩虹,,,B,物理
503,山东山西的“山”是指：,泰山,太行山,沂蒙山,恒山,B,地理
504,有一道野味菜叫做“清蒸飞龙”，飞龙是指：,花尾火鸡,花尾榛鸡,花尾雪鸡,花尾斑鸠,B,常识
505,下列哪项属于行政法律关系？,民政局小王和小李结婚,公安局逮捕张某,赵某违章驾车，交警对其罚款50元,,C,政治
506,一听可口可乐的净含量是：,350ml,325ml,355ml,300ml,C,常识
507,自控能力过分不足，注意力无法集中是什么儿童的主要表现：,超常儿童,天才儿童,多动症儿童,早熟儿童,C,常识
508,2001年2月，我国几位科学家被授予国家最高科学技术奖？,1位,2位,3位,4位,B,科技
509,有限责任公司的有限责任是指：,公司的股东仅以出资额为限对公司的债务负责,公司仅对债务负有限责任,公司经理对公司债务负有限责任,公司对其债务不负责任,A,政治
510,下列哪一个不是我国的领海？,黄海,东海,北海,渤海,C,地理
511,海河是扇形水系吗？,是,不是,,,A,地理
512,一个标准的足球，它的周长大概有：,50-60cm,60-70cm,70-80cm,,A,体育
513,政治中所提到的“南南合作”是指发展中中国家之间的经济合作，对吗？,对,不对,,,A,政治
514,在联合国维持和平与安全方面有权采取行动的机关是：,联合国大会,联合国安理会,秘书处,国际法院,B,政治
515,著名的哈雷彗星命名源于：,地名,人名,,,B,天文
516,胡萝卜呈黄色是因为含有,胡萝卜素,叶黄素,,,B,化学
517,狗的鼻尖为什么经常是湿乎乎的？,滋润嗅觉细胞的分泌物,经常喝水而弄湿的,鼻子怕冷而冻出来的,经常用唾液清洗,A,自然
517,一站到底51453道题库地址是哪里？,www.52yzdd.com,,,,A,常识
518,七大洲中面积第二的是：,非洲,亚洲,欧洲,北美洲,A,地理
519,符号“&“的中文意思是：,的,也,和,但,C,电脑
520,雄狮每天的大部分时间用来：,捕杀猎物,在领地里巡视,睡觉,,C,自然
